action,audit_method,core_episode_id,failure_mode,label_evidence_refs,source_episode_id,step_idx,trace_consistent
craft,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11002,unknown,"{""controller_result"":{""action_id"":""d26e69ce2a094f1a8f53ca10b9e9ddf0:0:0"",""action_type"":""craft"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared craft action failed: player_respawned: Execution observed the complete underground inventory disappear during tunnel clearance. Before: {'stone pickaxe': 1.0, 'planks': 7.0, 'furnace': 1.0, 'wooden pickaxe': 1.0, 'dirt': 15.0, 'cobblestone': 80.0, 'stone': 6.0}; after: {}; last observed position: [153.5, 68.0, 248.5]. MineDojo can publish inventory loss one observation before the respawn coordinate, so the player appears to have died and respawned."",""inventory_after_hash"":""728cff9b833a8976774427caf2290b8019b1ed529990e309c6c5227aa3cb5b0a"",""inventory_before_hash"":""1123522c9a2e71e3f1bcfae9f80c270dfce88789366ae4c7b0b63cf25b2cfb45"",""missing_requirements"":[],""plan_id"":""7e4446d660a540f5a416b100cf23697a"",""reason_code"":""player_respawned: Execution observed the complete underground inventory disappear during tunnel clearance. Before: {'stone pickaxe': 1.0, 'planks': 7.0, 'furnace': 1.0, 'wooden pickaxe': 1.0, 'dirt': 15.0, 'cobblestone': 80.0, 'stone': 6.0}; after: {}; last observed position: [153.5, 68.0, 248.5]. MineDojo can publish inventory loss one observation before the respawn coordinate, so the player appears to have died and respawned."",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12022,3,True
craft,deterministic_controller_trace_reconstruction,complex-41-obtain_diamond--core-seed-11001,environment_mismatch,"{""controller_result"":{""action_id"":""a681defb619b4c6b906c5021bb305ad8:0:0"",""action_type"":""craft"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared craft action failed: declared_craft_no_observed_yield"",""inventory_after_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""inventory_before_hash"":""df97688aa5c6b37e77521698a4c185b35c1cbf3dce54e08c90b3de05a662137b"",""missing_requirements"":[],""plan_id"":""716049d4836c46218a21244f8a4b3a3e"",""reason_code"":""declared_craft_no_observed_yield"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",complex-41-obtain_diamond--seed-11006,20,True
mine,deterministic_controller_trace_reconstruction,complex-41-obtain_diamond--core-seed-11002,knowledge_gap,"{""controller_result"":{""action_id"":""817df4840b0a455e9aa364b701ecc516:0:2"",""action_type"":""mine"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Missing declared tool: stone pickaxe."",""inventory_after_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""inventory_before_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""missing_requirements"":[""stone pickaxe""],""plan_id"":""e874479251e94b43b15256975d3b5ab3"",""reason_code"":""missing_declared_tool"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",complex-41-obtain_diamond--seed-13003-rerun1,6,True
craft,deterministic_controller_trace_reconstruction,complex-43-craft_dropper--core-seed-11001,environment_mismatch,"{""controller_result"":{""action_id"":""304e49080e724451867d8c028390efb4:0:0"",""action_type"":""craft"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared craft action failed: declared_craft_no_observed_yield"",""inventory_after_hash"":""ed94ba03aa49b6dcce1394d3a959ac6ef8da8402bebaef675094bdb48f330558"",""inventory_before_hash"":""ed94ba03aa49b6dcce1394d3a959ac6ef8da8402bebaef675094bdb48f330558"",""missing_requirements"":[],""plan_id"":""e3fa34389aae43f5b7ecdfde190b01dc"",""reason_code"":""declared_craft_no_observed_yield"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",complex-43-craft_dropper--seed-12005,28,True
mine,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11002,knowledge_gap,"{""controller_result"":{""action_id"":""e5b210c8d4d3478f8353c554c31629ac:0:2"",""action_type"":""mine"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Missing declared tool: stone pickaxe."",""inventory_after_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""inventory_before_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""missing_requirements"":[""stone pickaxe""],""plan_id"":""0352bd99a0e64be6b75afe48224dd172"",""reason_code"":""missing_declared_tool"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12022,4,True
craft,deterministic_controller_trace_reconstruction,hard-35-craft_iron_pickaxe--core-seed-11001,unknown,"{""controller_result"":{""action_id"":""e3da0feb10aa48c682d9989fd3100ad3:0:0"",""action_type"":""craft"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared craft action failed: crafting_table_recovery_failed: The crafting table used for the completed recipe could not be confirmed back in inventory after bounded break-and-pickup recovery."",""inventory_after_hash"":""5600cf1762166bb8edc81c016defbd9226379daa52d507261cd939f6b2e1a8f5"",""inventory_before_hash"":""330f14b1f21d358b26a7df2ef3ce9761df102ded6bb214aee40c5f71c6930a95"",""missing_requirements"":[],""plan_id"":""061fedb06d5b431cb97a180a7169b074"",""reason_code"":""crafting_table_recovery_failed: The crafting table used for the completed recipe could not be confirmed back in inventory after bounded break-and-pickup recovery."",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-35-craft_iron_pickaxe--seed-12011,2,True
craft,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11001,knowledge_gap,"{""controller_result"":{""action_id"":""1b4c356ea4d74640abd162475290bacb:0:0"",""action_type"":""smelt"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Missing declared craft materials: iron ore."",""inventory_after_hash"":""8fe5a3178cdeacb8bf461813e3055fa4c1ee9431ab6fde90dcd8e50cda88a95e"",""inventory_before_hash"":""8fe5a3178cdeacb8bf461813e3055fa4c1ee9431ab6fde90dcd8e50cda88a95e"",""missing_requirements"":[""iron ore""],""plan_id"":""86348e59187d42bba4e1eee9df397270"",""reason_code"":""missing_declared_materials"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12021,6,True
mine,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11002,environment_mismatch,"{""controller_result"":{""action_id"":""01c07c2e277c40f3a17411957828237e:0:2"",""action_type"":""mine"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared mine action failed: declared_mine_no_observed_yield"",""inventory_after_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""inventory_before_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""missing_requirements"":[],""plan_id"":""f131907740d4417aa615937d2916f5b3"",""reason_code"":""declared_mine_no_observed_yield"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12022,2,True
dig_up,deterministic_controller_trace_reconstruction,hard-35-craft_iron_pickaxe--core-seed-11002,unknown,"{""controller_result"":{""action_id"":""14ca33f3aac34c58a0ec30edc6947e84:0:0"",""action_type"":""dig_up"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared dig_up action failed: Trying to place air, raise error with strict check.You shouldn't execute this action, maybe something wrong with the mask!"",""inventory_after_hash"":""ab3387bf6b1b8f0d3de8647723447e7bbc6fd7d70e95e46bae5f84686978c260"",""inventory_before_hash"":""ab3387bf6b1b8f0d3de8647723447e7bbc6fd7d70e95e46bae5f84686978c260"",""missing_requirements"":[],""plan_id"":""cc86090135e7479d87f538585a59bbb7"",""reason_code"":""Trying to place air, raise error with strict check.You shouldn't execute this action, maybe something wrong with the mask!"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-35-craft_iron_pickaxe--seed-12019,0,True
mine,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11002,environment_mismatch,"{""controller_result"":{""action_id"":""c74c6cca2e544390a87756cfeb001572:0:2"",""action_type"":""mine"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared mine action failed: declared_mine_no_observed_yield"",""inventory_after_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""inventory_before_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""missing_requirements"":[],""plan_id"":""2144ec2bfd4142669e7c6e8b03fee449"",""reason_code"":""declared_mine_no_observed_yield"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12022,3,True
mine,deterministic_controller_trace_reconstruction,complex-43-craft_dropper--core-seed-11001,environment_mismatch,"{""controller_result"":{""action_id"":""6cd8f17a641a4cf9b47dec5a80dcdc19:0:2"",""action_type"":""mine"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared mine action failed: declared_mine_no_observed_yield"",""inventory_after_hash"":""c2990f1ba803ecfa73f5d58c895e2647e05cc599dc36b374580a8fcf94ae6c10"",""inventory_before_hash"":""c2990f1ba803ecfa73f5d58c895e2647e05cc599dc36b374580a8fcf94ae6c10"",""missing_requirements"":[],""plan_id"":""b999e8b2ec9f4dc1892d297948ed9d4b"",""reason_code"":""declared_mine_no_observed_yield"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",complex-43-craft_dropper--seed-12005,5,True
craft,deterministic_controller_trace_reconstruction,complex-41-obtain_diamond--core-seed-11001,unknown,"{""controller_result"":{""action_id"":""39cbccd2c4b640fcacf17e7d27e58ece:0:0"",""action_type"":""craft"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared craft action failed: furnace_placement_failed: The furnace remained in inventory after eight bounded placement headings; no reachable support face was observed at the current position."",""inventory_after_hash"":""d7d4a34eba8ad60316e5e45f6626ec1d4c6f47e5fdbf19fe7900035b45d042a6"",""inventory_before_hash"":""9c88d7b19f91ecb08c08483460fa71dd7c5a782358943c5e01882056dc231bde"",""missing_requirements"":[],""plan_id"":""9e19b413052746ccb6028d8b4a8c271f"",""reason_code"":""furnace_placement_failed: The furnace remained in inventory after eight bounded placement headings; no reachable support face was observed at the current position."",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",complex-41-obtain_diamond--seed-11006,12,True
equip,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11001,knowledge_gap,"{""controller_result"":{""action_id"":""90240bba72294c819a6429c087a5bb1e:0:0"",""action_type"":""equip"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Missing declared equipment: wooden pickaxe."",""inventory_after_hash"":""2caea50d0957a65289e415e5d099d43ff512edf8fbca26d9d3e4a89d6f7a1d69"",""inventory_before_hash"":""2caea50d0957a65289e415e5d099d43ff512edf8fbca26d9d3e4a89d6f7a1d69"",""missing_requirements"":[""wooden pickaxe""],""plan_id"":""5fa14e425824443ab8e31dcb50309d85"",""reason_code"":""missing_declared_equipment"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12021,2,True
craft,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11002,unknown,"{""controller_result"":{""action_id"":""8ab0c343d1e2414e9ead214bc4a65972:0:0"",""action_type"":""craft"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared craft action failed: crafting_table_recovery_failed: The crafting table used for the completed recipe could not be confirmed back in inventory after bounded break-and-pickup recovery."",""inventory_after_hash"":""f803ae3b0a05688eb97d39b06a377aa127c29c5bd7af5f69f9b8fd1b27c618fe"",""inventory_before_hash"":""ed08a20c3fc829b5f6b83b2c38405406657649700cf1418ba2ca48e41b2991eb"",""missing_requirements"":[],""plan_id"":""c1bec1b79dd142a0a815859899ad1704"",""reason_code"":""crafting_table_recovery_failed: The crafting table used for the completed recipe could not be confirmed back in inventory after bounded break-and-pickup recovery."",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12022,2,True
craft,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11002,unknown,"{""controller_result"":{""action_id"":""17f248220c6a427c8b236b0aae77d532:0:0"",""action_type"":""craft"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared craft action failed: crafting_table_recovery_failed: The crafting table used for the completed recipe could not be confirmed back in inventory after bounded break-and-pickup recovery."",""inventory_after_hash"":""80c7bb43d1d2f5561eb36acf151b08848dc287f5913a26af86d4151e258d0e57"",""inventory_before_hash"":""77b33a6091d46a5cea26bc38c557905136c798c7f329a5b14292256dd006d596"",""missing_requirements"":[],""plan_id"":""252729b21e954e2392820176dad50ae6"",""reason_code"":""crafting_table_recovery_failed: The crafting table used for the completed recipe could not be confirmed back in inventory after bounded break-and-pickup recovery."",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12022,2,True
mine,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11002,environment_mismatch,"{""controller_result"":{""action_id"":""31a8e09e1bfe49a7b26b32dce8a27d0c:0:2"",""action_type"":""mine"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared mine action failed: declared_mine_no_observed_yield"",""inventory_after_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""inventory_before_hash"":""44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a"",""missing_requirements"":[],""plan_id"":""3d88267ad98e4aaaa0970ebc21f1b5f9"",""reason_code"":""declared_mine_no_observed_yield"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12022,2,True
mine,deterministic_controller_trace_reconstruction,complex-41-obtain_diamond--core-seed-11002,environment_mismatch,"{""controller_result"":{""action_id"":""558fc7ea73774a4ab20d1c87b8e7618d:8:2"",""action_type"":""mine"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared mine action failed: declared_mine_no_observed_yield"",""inventory_after_hash"":""6f1515d600793c828a7fa25724a6e820b0358d5dfcbb87003adc4d2e15e32799"",""inventory_before_hash"":""6f1515d600793c828a7fa25724a6e820b0358d5dfcbb87003adc4d2e15e32799"",""missing_requirements"":[],""plan_id"":""edd7bb42cfc741fa85c7298a38424841"",""reason_code"":""declared_mine_no_observed_yield"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",complex-41-obtain_diamond--seed-13003-rerun1,30,True
equip,deterministic_controller_trace_reconstruction,hard-35-craft_iron_pickaxe--core-seed-11001,knowledge_gap,"{""controller_result"":{""action_id"":""56b14ab53f44413889ca8f4f010b7a29:0:0"",""action_type"":""equip"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Missing declared equipment: stone pickaxe."",""inventory_after_hash"":""b9bf6cfe360d2ef927a5002bb2b42edaf255ec27e2f6c7f3414db6ce7022f482"",""inventory_before_hash"":""b9bf6cfe360d2ef927a5002bb2b42edaf255ec27e2f6c7f3414db6ce7022f482"",""missing_requirements"":[""stone pickaxe""],""plan_id"":""a3debdaed0144f5db079cf84ba7840ab"",""reason_code"":""missing_declared_equipment"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-35-craft_iron_pickaxe--seed-12011,0,True
dig_down,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11001,controller_failure,"{""controller_result"":{""action_id"":""335b806b652c47f59e8788c5447ea6fe:0:0"",""action_type"":""dig_down"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared dig_down action failed: declared_dig_down_failed"",""inventory_after_hash"":""cf5afc2a7e3b8cd421912b0e76f18ac7b37b01c4a78feb5bdba2f2e2fc5f47e0"",""inventory_before_hash"":""cf5afc2a7e3b8cd421912b0e76f18ac7b37b01c4a78feb5bdba2f2e2fc5f47e0"",""missing_requirements"":[],""plan_id"":""dee23ab69acc4ff6bfa1c86702b87185"",""reason_code"":""declared_dig_down_failed"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12021,11,True
craft,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11002,knowledge_gap,"{""controller_result"":{""action_id"":""701ac056e61246d684aa23a5f088e3c5:0:0"",""action_type"":""smelt"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Missing declared craft materials: iron ore."",""inventory_after_hash"":""9208ad5c74dbf240b12fc0edb52718f285dce9c3e5ecba1bee85384e29579328"",""inventory_before_hash"":""9208ad5c74dbf240b12fc0edb52718f285dce9c3e5ecba1bee85384e29579328"",""missing_requirements"":[""iron ore""],""plan_id"":""e476c946890d41e68d3765d324c82172"",""reason_code"":""missing_declared_materials"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12022,5,True
craft,deterministic_controller_trace_reconstruction,complex-41-obtain_diamond--core-seed-11001,unknown,"{""controller_result"":{""action_id"":""1c67138ed8564215932bccfff7c26ea2:0:0"",""action_type"":""craft"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Declared craft action failed: crafting_table_placement_failed: The crafting table remained in inventory after eight bounded placement headings; no reachable support face was observed at the current position."",""inventory_after_hash"":""14e87316673c9386f17cf469e8caad853e4671628d264c79ed11ad9c69cdb3bd"",""inventory_before_hash"":""518a51bef6f53466dd25d1bc7ddbd38640214f716c6d0bcd82a425ab9c1f325a"",""missing_requirements"":[],""plan_id"":""f3113e38f6f1455dad5121987dd4a0c7"",""reason_code"":""crafting_table_placement_failed: The crafting table remained in inventory after eight bounded placement headings; no reachable support face was observed at the current position."",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",complex-41-obtain_diamond--seed-11006,2,True
mine,deterministic_controller_trace_reconstruction,hard-32-smelt_iron_ingot--core-seed-11001,knowledge_gap,"{""controller_result"":{""action_id"":""bfc9b210f0c1453b8d0303a92b815288:0:2"",""action_type"":""mine"",""environment_state_ref"":""legacy_memory.inventory"",""feedback"":""Missing declared tool: stone pickaxe."",""inventory_after_hash"":""4cf521e432618829e8d9a94580e9375e6057a11d1bbf923799c491c6a4cb0cae"",""inventory_before_hash"":""4cf521e432618829e8d9a94580e9375e6057a11d1bbf923799c491c6a4cb0cae"",""missing_requirements"":[""stone pickaxe""],""plan_id"":""c38d56d25b214326a38c4021861815e8"",""reason_code"":""missing_declared_tool"",""success"":false,""suggestion"":""Re-plan explicitly from the observed environment state.""}}",hard-32-smelt_iron_ingot--seed-12021,4,True
